Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1908,-.43,-.46,-.40,-.48,-.44,-.35,-.25,-.54,-.51,-.43,-.45,-.28,-.48,.69
1909,-.48,-.50,-.47,-.53,-.48,-.43,-.77,-.61,-.43,-.45,-.52,-.36,-.52,-.55
1910,-.43,-.44,-.42,-.41,-.49,-.37,-.58,-.24,-.48,-.50,-.49,-.32,-.45,.18
1911,-.43,-.42,-.45,-.42,-.42,-.47,-.28,-.41,-.46,-.43,-.41,-.43,-.52,.07
1912,-.35,-.46,-.24,-.59,-.18,-.36,-.49,-.78,-.49,-.28,-.07,-.36,-.29,-1.62
1913,-.34,-.42,-.25,-.44,-.27,-.34,-.51,-.33,-.50,-.40,-.14,-.27,-.40,-1.02
1914,-.15,-.20,-.10,-.25,-.07,-.17,-.38,-.16,-.28,-.13,.00,-.15,-.18,-.35
1915,-.14,-.14,-.12,-.23,-.01,-.21,-.59,-.16,-.18,-.01,.00,-.14,-.23,-1.97
1916,-.35,-.41,-.30,-.36,-.44,-.22,-.45,-.54,-.23,-.49,-.39,-.22,-.16,-1.03
1917,-.45,-.57,-.35,-.50,-.63,-.18,-.83,-.49,-.42,-.69,-.57,-.22,-.09,.08
1918,-.29,-.40,-.19,-.40,-.33,-.13,-1.02,-.26,-.34,-.38,-.27,-.05,-.22,-.26
1919,-.27,-.35,-.19,-.43,-.20,-.21,-.71,-.55,-.29,-.23,-.16,-.14,-.31,.21
1920,-.27,-.30,-.23,-.25,-.25,-.31,-.02,-.20,-.34,-.38,-.12,-.18,-.48,-1.13
1921,-.18,-.11,-.26,.02,-.25,-.30,.01,.17,-.08,-.30,-.20,-.22,-.38,-.82
1922,-.28,-.28,-.29,-.24,-.32,-.26,-.30,-.40,-.13,-.33,-.31,-.23,-.28,-.26
1923,-.26,-.22,-.30,-.15,-.29,-.33,.17,-.15,-.25,-.32,-.27,-.25,-.41,-.53
1924,-.27,-.18,-.34,-.13,-.25,-.42,.46,-.25,-.22,-.27,-.24,-.38,-.45,-.52
1925,-.22,-.14,-.29,-.04,-.24,-.37,-.07,.18,-.17,-.28,-.19,-.23,-.54,-.85
1926,-.10,.02,-.21,.03,.02,-.39,.57,.16,-.21,.00,.03,-.34,-.45,-.62
1927,-.21,-.13,-.28,-.13,-.16,-.38,.02,-.21,-.12,-.15,-.17,-.29,-.45,-1.37
1928,-.19,-.10,-.28,-.06,-.15,-.38,.72,-.17,-.22,-.16,-.15,-.27,-.48,-2.11
1929,-.36,-.34,-.37,-.37,-.28,-.45,.15,-.61,-.37,-.28,-.28,-.42,-.44,-1.06
1930,-.16,-.02,-.29,.05,-.12,-.41,.54,.04,-.10,-.11,-.13,-.32,-.46,-2.58
1931,-.09,.05,-.21,.01,.07,-.42,.57,-.04,-.13,.09,.05,-.41,-.40,-.40
1932,-.16,-.06,-.26,.04,-.18,-.34,.49,.19,-.20,-.21,-.15,-.20,-.53,-.97
1933,-.29,-.26,-.32,-.24,-.29,-.33,-.16,-.47,-.12,-.29,-.29,-.21,-.48,-1.13
1934,-.13,.00,-.25,.18,-.26,-.25,.88,.31,-.12,-.26,-.25,-.15,-.38,-.55
1935,-.20,-.10,-.30,-.04,-.19,-.37,.35,-.05,-.16,-.17,-.21,-.30,-.41,-1.70
1936,-.15,-.03,-.26,-.02,-.13,-.29,.40,.10,-.25,-.05,-.21,-.26,-.32,-.02
1937,-.03,.12,-.17,.20,-.06,-.22,1.24,.02,-.02,.00,-.12,-.18,-.25,.38
1938,.00,.16,-.18,.39,-.23,-.09,1.51,.38,.03,-.18,-.28,-.05,-.11,-.85
1939,-.02,.09,-.13,.23,-.12,-.12,.57,.28,.08,-.11,-.14,-.04,-.18,-1.59
1940,.13,.18,.10,.11,.28,-.06,1.00,-.03,-.09,.27,.29,.04,-.20,-.04
1941,.19,.23,.17,.01,.49,-.04,.01,-.10,.09,.55,.43,.04,-.15,-.45
1942,.07,.13,.01,.13,.07,-.01,.73,-.07,.06,.12,.03,.06,-.05,-.88
1943,.09,.18,-.01,.37,-.09,.04,1.42,.28,.11,-.10,-.07,.08,.00,1.15
1944,.20,.27,.14,.38,.18,.05,1.18,.46,.10,.11,.26,.19,-.09,-.92
1945,.09,.10,.09,.11,.16,-.02,.63,-.03,.04,.09,.24,.04,.00,-1.76
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.17,-.03,-.08,-.21,-.24,-.15
1947,-.03,.08,-.13,.15,-.07,-.16,1.07,-.14,.05,-.04,-.10,-.19,-.08,-.19
1948,-.11,-.02,-.20,.13,-.19,-.23,.12,.31,.01,-.23,-.15,-.19,-.19,-1.35
1949,-.11,-.03,-.19,.12,-.19,-.22,.21,.16,.05,-.24,-.15,-.17,-.15,-1.95
1950,-.17,-.15,-.20,-.05,-.29,-.14,.19,-.31,.04,-.31,-.28,-.06,-.16,-.85
1951,-.07,.04,-.18,.08,-.07,-.23,.08,.01,.12,-.01,-.12,-.21,-.16,-.69
1952,.01,.06,-.03,.11,.01,-.09,.27,-.09,.19,-.01,.04,-.09,-.02,-.49
1953,.08,.24,-.07,.35,.07,-.18,1.02,.35,.14,.08,.06,-.08,-.24,-1.09
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.00,-.14,-.29,-.17,-.20,-.80
1955,-.14,-.09,-.20,.05,-.34,-.06,-.24,-.11,.23,-.30,-.39,-.15,-.08,1.23
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.47,-.09,-.29,-.38,-.13,.02,.77
1957,.05,.04,.05,.03,.07,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.20,-.15,-.16,.14,.12,.26,.15,-.08,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.49,.18,.05,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.34,-.07,.11,.06,-.03,-.10,-.07,-.76
1961,.06,.09,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.08,.45,.31,.14,-.04,-.05,.09,-.08,-.66
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.14,.10,-.10,-.17,-.04
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,.00,-.24,-.14,.11
1967,-.02,.03,-.07,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.06,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.06
1969,.05,-.03,.15,-.29,.34,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.07,.11,-.21,-.13,-.07,.07,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.02,-.10,-.29,-.22,.03,.16,.44
1972,.01,-.17,.20,-.34,.17,.14,-.36,-.47,-.25,.07,.26,.16,-.02,.44
1973,.16,.09,.23,.10,.19,.18,.07,.27,.01,.08,.30,.21,.07,.34
1974,-.07,-.18,.03,-.15,-.20,.17,-.19,-.07,-.18,-.23,-.17,.21,-.09,.65
1975,-.01,-.05,.02,.12,-.24,.15,.09,.39,-.05,-.30,-.17,.13,.14,.28
1976,-.10,-.21,.01,-.26,-.11,.08,-.08,-.32,-.28,-.13,-.10,.10,.22,-.24
1977,.18,.12,.24,.14,.16,.25,.16,.24,.06,.10,.22,.21,.31,.27
1978,.07,.02,.11,-.03,.08,.16,-.16,.03,-.04,.10,.06,.20,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.60,.06,.09,.25,.27,.29,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.25,.02,.02,.33,.29,.35,.37,.58
1981,.32,.37,.27,.48,.18,.36,1.09,.78,.08,.22,.15,.28,.38,.61
1982,.14,.06,.23,-.08,.27,.18,-.40,.10,-.08,.25,.30,.18,.32,-.11
1983,.31,.25,.38,.22,.44,.24,.19,.69,-.06,.29,.58,.21,.41,.04
1984,.16,.04,.28,.02,.19,.26,.36,.08,-.13,.07,.30,.16,.32,.52
1985,.12,.00,.23,-.03,.09,.30,.39,-.26,-.01,.04,.14,.29,.44,.04
1986,.18,.14,.23,.11,.23,.19,.01,.28,.03,.18,.28,.25,.25,-.11
1987,.32,.25,.41,.04,.59,.25,-.36,.13,.12,.55,.62,.32,.25,.01
1988,.39,.37,.40,.40,.38,.39,.59,.57,.24,.33,.43,.38,.20,.86
1989,.28,.27,.27,.41,.13,.33,.34,.69,.26,.07,.19,.36,.30,.34
1990,.45,.53,.37,.63,.38,.37,.58,.88,.49,.39,.37,.37,.37,.37
1991,.41,.41,.40,.47,.37,.39,.75,.66,.26,.33,.41,.31,.29,.96
1992,.22,.14,.31,.10,.29,.26,-.16,.44,-.03,.20,.37,.20,.33,.38
1993,.24,.19,.28,.13,.33,.22,.55,.29,-.11,.29,.36,.26,.39,-.30
1994,.32,.38,.26,.44,.32,.20,.34,.50,.42,.29,.34,.26,.23,-.05
1995,.45,.58,.32,.70,.43,.22,1.31,.99,.32,.41,.45,.28,.15,.15
1996,.33,.27,.39,.24,.32,.43,.77,.17,.11,.31,.33,.32,.28,1.20
1997,.47,.52,.41,.54,.51,.33,.77,.91,.23,.50,.53,.42,.36,-.01
1998,.61,.71,.52,.78,.70,.32,.86,.94,.66,.60,.79,.39,.31,.15
1999,.39,.48,.28,.71,.21,.30,.41,.80,.74,.16,.26,.46,.19,.03
2000,.40,.50,.29,.70,.25,.29,.98,.80,.56,.21,.29,.41,.10,.27
2001,.54,.64,.44,.81,.43,.43,1.07,.86,.69,.40,.45,.58,.24,.31
2002,.63,.72,.54,.83,.60,.47,1.26,1.00,.59,.55,.64,.49,.31,.76
2003,.62,.75,.50,.84,.64,.37,1.50,.99,.54,.62,.67,.44,.24,.43
2004,.54,.66,.42,.73,.55,.33,.47,.96,.67,.57,.54,.48,.23,.04
2005,.68,.86,.50,1.02,.63,.42,1.99,1.23,.58,.63,.62,.49,.18,.70
2006,.64,.82,.46,.99,.56,.40,1.74,1.06,.71,.57,.55,.51,.19,.48
2007,.67,.86,.48,1.14,.46,.48,2.12,1.33,.70,.45,.48,.50,.07,1.28
2008,.55,.69,.41,.92,.38,.40,1.55,1.08,.62,.34,.42,.53,.08,.62
2009,.66,.73,.60,.78,.68,.52,1.43,.61,.69,.66,.71,.60,.15,1.01
2010,.73,.91,.55,1.03,.69,.47,2.22,.87,.75,.72,.65,.63,.20,.49
2011,.61,.75,.47,.99,.37,.55,2.35,.94,.59,.39,.35,.64,.18,1.02
2012,.65,.82,.48,1.05,.53,.41,2.22,.94,.75,.48,.57,.56,.19,.32
2013,.68,.81,.56,.96,.58,.54,1.56,1.05,.71,.59,.58,.63,.22,.92
2014,.75,.93,.58,1.09,.67,.52,2.05,1.14,.74,.69,.65,.72,.18,.56
2015,.90,1.19,.62,1.33,.96,.40,2.01,1.49,1.01,.98,.94,.75,.18,-.35
2016,1.02,1.31,.73,1.56,1.01,.49,3.25,1.44,1.09,.96,1.07,.67,.25,.37
2017,.93,1.19,.67,1.40,.82,.59,2.53,1.38,1.06,.87,.77,.76,.35,.52
2018,.85,1.05,.66,1.26,.68,.68,2.16,1.09,1.07,.74,.63,.80,.37,.94
2019,.98,1.22,.75,1.43,.90,.65,2.72,1.44,1.01,.91,.89,.75,.39,.86
2020,1.02,1.36,.68,1.68,.87,.57,2.92,1.82,1.20,.89,.85,.58,.39,.88
